sample,raw_x,raw_y,raw_z,g_x,g_y
84,-127,-14,16418,-0.007755,-0.000879
85,-46,-66,16380,-0.002856,-0.004044
86,-96,-40,16472,-0.005861,-0.002493
87,-74,-7,16413,-0.004537,-0.000478
88,-53,25,16422,-0.003239,0.001531
89,-56,2,16422,-0.003434,0.000170
90,-46,52,16402,-0.002854,0.003213
91,-85,-10,16393,-0.005206,-0.000624
92,-102,-18,16462,-0.006226,-0.001110
93,-85,134,16434,-0.005225,0.008225
94,-164,24,16428,-0.010061,0.001522
95,-153,-26,16421,-0.009338,-0.001594
96,-146,-21,16382,-0.008946,-0.001295
97,-130,-29,16437,-0.007935,-0.001820
98,-60,66,16384,-0.003694,0.004035
99,-123,5,16411,-0.007543,0.000346
100,-96,33,16363,-0.005880,0.002030
101,-12,27,16352,-0.000751,0.001661
102,-91,69,16409,-0.005606,0.004243
103,-36,-4,16380,-0.002199,-0.000300
104,-115,-13,16350,-0.007072,-0.000803
105,-77,53,16412,-0.004733,0.003273
106,-111,74,16450,-0.006800,0.004571
107,-78,64,16431,-0.004787,0.003924
108,-17,10,16389,-0.001057,0.000648
109,-140,86,16395,-0.008557,0.005248
110,-30,18,16416,-0.001858,0.001114
111,-36,31,16421,-0.002223,0.001899
112,-73,12,16384,-0.004485,0.000740
113,-111,124,16392,-0.006799,0.007571
114,-32,92,16398,-0.001994,0.005653
115,-58,92,16403,-0.003542,0.005640
116,-16,125,16385,-0.000992,0.007626
117,-22,202,16384,-0.001355,0.012370
118,59,-19,16420,0.003658,-0.001160
119,-26,29,16415,-0.001588,0.001775
120,-60,35,16396,-0.003661,0.002151
121,3,23,16426,0.000230,0.001444
122,10,12,16373,0.000635,0.000748
123,71,50,16422,0.004335,0.003053
124,49,4,16394,0.003045,0.000260
125,30,79,16461,0.001891,0.004861
126,89,64,16350,0.005488,0.003945
127,-35,84,16362,-0.002194,0.005155
128,-4,84,16388,-0.000278,0.005144
129,-14,87,16387,-0.000873,0.005328
130,16,37,16424,0.000995,0.002286
131,-28,158,16359,-0.001714,0.009645
132,74,63,16397,0.004565,0.003851
133,36,-42,16402,0.002229,-0.002585
134,-21,-2,16390,-0.001291,-0.000159
135,4,-41,16349,0.000291,-0.002537
136,73,42,16406,0.004483,0.002565
137,102,32,16401,0.006251,0.001967
138,162,12,16385,0.009909,0.000740
139,210,130,16375,0.012830,0.007984
140,89,55,16375,0.005487,0.003397
141,23,61,16366,0.001418,0.003722
142,-30,-23,16383,-0.001880,-0.001461
143,89,-30,16368,0.005433,-0.001880
144,37,16,16346,0.002290,0.001008
145,58,19,16340,0.003567,0.001195
146,49,-83,16347,0.003046,-0.005117
147,73,-5,16370,0.004513,-0.000315
148,133,0,16364,0.008171,0.000042
149,89,-14,16369,0.005465,-0.000872
150,74,-47,16376,0.004524,-0.002892
151,30,-37,16348,0.001882,-0.002295
152,-1,-23,16399,-0.000061,-0.001429
153,56,-13,16356,0.003461,-0.000845
154,77,7,16352,0.004701,0.000482
155,165,27,16374,0.010092,0.001699
156,83,-43,16316,0.005090,-0.002633
157,123,-54,16342,0.007543,-0.003319
158,48,-13,16385,0.002978,-0.000832
159,12,-8,16318,0.000788,-0.000500
160,21,-62,16388,0.001300,-0.003815
161,30,-5,16398,0.001859,-0.000314
162,167,1,16351,0.010247,0.000090
163,19,14,16367,0.001212,0.000872
164,98,35,16388,0.005993,0.002188
165,9,-96,16349,0.000560,-0.005881
166,95,-55,16381,0.005845,-0.003364
167,65,-57,16344,0.003976,-0.003485
168,34,-64,16348,0.002113,-0.003915
169,36,-92,16341,0.002214,-0.005659
170,1,-135,16369,0.000118,-0.008247
171,51,-58,16389,0.003160,-0.003578
172,3,-101,16356,0.000191,-0.006215
173,-39,-60,16329,-0.002392,-0.003694
174,-46,-104,16334,-0.002825,-0.006363
175,20,-119,16371,0.001248,-0.007295
176,85,-54,16407,0.005187,-0.003297
177,10,-57,16371,0.000647,-0.003537
178,-7,-36,16352,-0.000472,-0.002230
179,7,43,16381,0.000459,0.002625
180,53,-50,16357,0.003238,-0.003053
181,-4,-38,16354,-0.000301,-0.002369
182,-40,-114,16340,-0.002468,-0.006985
183,29,-123,16398,0.001811,-0.007529
184,-8,19,16302,-0.000488,0.001177
185,42,-102,16384,0.002571,-0.006235
186,-28,-106,16354,-0.001742,-0.006477
187,-101,-54,16355,-0.006213,-0.003333
188,-112,-54,16408,-0.006883,-0.003347
189,31,-92,16349,0.001943,-0.005634
190,31,-60,16350,0.001940,-0.003683
191,-65,17,16365,-0.003980,0.001088
192,-78,-79,16379,-0.004791,-0.004842
193,9,-105,16358,0.000555,-0.006421
194,-120,12,16331,-0.007326,0.000779
195,-112,-6,16349,-0.006852,-0.000374
196,-39,-57,16402,-0.002387,-0.003509
197,-92,-101,16373,-0.005637,-0.006185
198,-75,-56,16383,-0.004590,-0.003459
199,-84,-19,16367,-0.005172,-0.001172
200,-61,44,16358,-0.003761,0.002710
201,-10,-60,16416,-0.000627,-0.003674
202,-76,-9,16371,-0.004639,-0.000593
203,-49,31,16365,-0.003024,0.001912
204,-182,-115,16404,-0.011136,-0.007031
205,-84,56,16360,-0.005145,0.003441
206,-123,-48,16364,-0.007526,-0.002983
207,-141,29,16380,-0.008634,0.001783
208,-124,28,16380,-0.007578,0.001748
209,-96,73,16388,-0.005895,0.004479
210,-34,50,16433,-0.002079,0.003092
211,-143,-89,16391,-0.008725,-0.005484
212,-74,-8,16325,-0.004557,-0.000503
213,-98,40,16393,-0.005990,0.002463
214,-88,27,16387,-0.005394,0.001655
215,-20,63,16388,-0.001263,0.003857
216,-41,81,16393,-0.002503,0.004968
217,1,75,16388,0.000062,0.004593
218,-69,37,16388,-0.004234,0.002284
219,-92,-40,16405,-0.005666,-0.002463
220,-66,30,16378,-0.004047,0.001850
221,-39,75,16369,-0.002433,0.004595
222,-39,3,16467,-0.002407,0.000193
223,-97,89,16376,-0.005956,0.005466
224,-35,104,16397,-0.002189,0.006393
225,-25,67,16359,-0.001526,0.004133
226,91,-87,16400,0.005599,-0.005367
227,64,0,16375,0.003941,0.000051
228,-65,157,16388,-0.003980,0.009591
229,-32,38,16425,-0.002009,0.002328
230,-86,-32,16412,-0.005260,-0.001962
231,-38,126,16415,-0.002362,0.007705
232,10,66,16359,0.000639,0.004036
233,58,119,16448,0.003592,0.007295
234,-31,78,16375,-0.001930,0.004783
235,-23,86,16442,-0.001423,0.005286
236,-92,81,16431,-0.005622,0.004945
237,9,96,16421,0.000610,0.005882
238,-29,172,16386,-0.001815,0.010544
239,0,107,16412,0.000053,0.006534
240,-11,-20,16397,-0.000724,-0.001222
241,30,77,16410,0.001882,0.004746
242,-46,109,16404,-0.002857,0.006706
243,-28,110,16361,-0.001741,0.006755
244,152,28,16440,0.009283,0.001723
245,-12,103,16411,-0.000741,0.006343
246,0,89,16402,0.000047,0.005468
247,148,167,16400,0.009053,0.010230
248,204,1,16424,0.012452,0.000083
249,6,10,16394,0.000404,0.000623
250,48,16,16361,0.002983,0.001032
251,86,4,16427,0.005269,0.000279
252,156,-18,16430,0.009573,-0.001126
253,25,-114,16413,0.001555,-0.006955
254,63,-3,16391,0.003894,-0.000187
255,115,32,16421,0.007061,0.002006
256,100,-13,16384,0.006118,-0.000804
257,61,102,16395,0.003754,0.006258
258,74,4,16402,0.004534,0.000266
259,13,63,16442,0.000848,0.003873
260,70,9,16413,0.004280,0.000558
261,68,33,16411,0.004201,0.002027
262,93,2,16471,0.005686,0.000162
263,54,52,16432,0.003297,0.003208
264,103,-15,16432,0.006335,-0.000949
265,129,2,16415,0.007900,0.000156
266,86,-7,16409,0.005255,-0.000445
267,94,-42,16371,0.005754,-0.002615
268,77,-12,16448,0.004754,-0.000736
269,73,74,16436,0.004476,0.004558
270,35,-51,16421,0.002178,-0.003144
271,84,-20,16422,0.005145,-0.001254
272,61,17,16443,0.003743,0.001088
273,166,9,16387,0.010141,0.000572
274,137,-48,16411,0.008396,-0.002968
275,75,-168,16398,0.004636,-0.010298
276,16,-28,16469,0.000980,-0.001732
277,-4,-164,16447,-0.000287,-0.010065
278,104,14,16372,0.006394,0.000890
279,55,-51,16388,0.003371,-0.003113
280,61,-11,16422,0.003777,-0.000713
281,-51,-106,16414,-0.003151,-0.006496
282,75,-139,16393,0.004604,-0.008514
283,47,-51,16473,0.002919,-0.003128
284,-33,-66,16433,-0.002047,-0.004052
285,-6,-89,16437,-0.000406,-0.005455
286,24,-61,16408,0.001522,-0.003742
287,9,70,16442,0.000607,0.004303
288,-11,-24,16415,-0.000710,-0.001486
289,-6,-13,16417,-0.000427,-0.000819
290,-18,-22,16439,-0.001155,-0.001401
291,-3,9,16383,-0.000222,0.000554
292,56,-72,16462,0.003455,-0.004395
293,-146,-162,16427,-0.008935,-0.009917
294,-36,-69,16454,-0.002218,-0.004234
295,-20,-18,16395,-0.001245,-0.001136
296,-18,-104,16399,-0.001148,-0.006374
297,-55,-63,16392,-0.003407,-0.003875
298,-128,-86,16427,-0.007809,-0.005291
299,-29,23,16421,-0.001795,0.001430
300,35,-11,16408,0.002173,-0.000678
301,-128,-13,16394,-0.007832,-0.000813
302,-13,-12,16387,-0.000850,-0.000735
303,-75,-41,16416,-0.004627,-0.002536
304,-65,-27,16405,-0.004013,-0.001647
305,-117,-91,16399,-0.007164,-0.005604
306,-84,-137,16454,-0.005171,-0.008411
307,-6,-19,16413,-0.000417,-0.001197
308,-44,-7,16445,-0.002705,-0.000467
309,10,39,16400,0.000622,0.002402
310,-18,60,16419,-0.001149,0.003706
311,-56,64,16411,-0.003456,0.003923
312,6,-58,16370,0.000382,-0.003558
313,-58,-22,16446,-0.003594,-0.001396
314,-40,21,16406,-0.002472,0.001328
315,-96,126,16427,-0.005875,0.007709
316,-78,78,16390,-0.004799,0.004780
317,-116,64,16403,-0.007089,0.003922
318,-32,-6,16385,-0.002009,-0.000376
319,-138,-26,16436,-0.008478,-0.001642
320,-41,58,16412,-0.002546,0.003592
321,-88,-30,16413,-0.005399,-0.001863
322,-20,15,16436,-0.001232,0.000932
323,-39,24,16431,-0.002396,0.001507
324,15,111,16420,0.000925,0.006828
325,-36,19,16365,-0.002219,0.001176
326,-147,-80,16382,-0.008987,-0.004894
327,-70,67,16374,-0.004318,0.004113
328,-122,10,16415,-0.007466,0.000671
329,-87,50,16401,-0.005325,0.003055
330,15,46,16362,0.000955,0.002816
331,-23,39,16390,-0.001462,0.002395
332,-86,93,16357,-0.005258,0.005716
333,-97,-18,16392,-0.005978,-0.001134
334,-42,33,16351,-0.002605,0.002021
335,-100,93,16404,-0.006110,0.005720
336,-69,31,16399,-0.004224,0.001910
337,-16,-16,16436,-0.001017,-0.001002
338,29,96,16409,0.001776,0.005890
339,6,119,16377,0.000406,0.007302
340,-131,62,16407,-0.008021,0.003833
341,0,-31,16351,0.000043,-0.001893
342,-6,100,16361,-0.000374,0.006118
343,15,-16,16392,0.000933,-0.000983
344,79,80,16330,0.004823,0.004907
345,-97,21,16381,-0.005932,0.001289
346,-20,7,16356,-0.001234,0.000431
347,42,41,16383,0.002593,0.002531
348,-59,53,16353,-0.003647,0.003240
349,95,29,16389,0.005800,0.001779
350,45,88,16378,0.002747,0.005387
351,72,35,16411,0.004446,0.002181
352,7,104,16376,0.000452,0.006347
353,79,67,16356,0.004858,0.004126
354,96,17,16369,0.005865,0.001055
355,58,6,16341,0.003594,0.000405
356,62,-34,16383,0.003824,-0.002094
357,68,58,16387,0.004148,0.003557
358,15,23,16432,0.000953,0.001449
359,53,-78,16356,0.003294,-0.004784
360,56,8,16364,0.003461,0.000538
361,85,-12,16355,0.005238,-0.000752
362,118,106,16374,0.007244,0.006477
363,19,-58,16378,0.001211,-0.003565
364,67,-49,16366,0.004141,-0.002991
365,148,72,16394,0.009074,0.004447
366,40,81,16351,0.002499,0.004968
367,38,-25,16390,0.002347,-0.001559
368,89,-23,16379,0.005489,-0.001444
369,122,34,16365,0.007469,0.002075
370,82,-114,16357,0.005007,-0.006981
371,147,-95,16424,0.008981,-0.005810
372,124,-21,16344,0.007570,-0.001294
373,123,65,16371,0.007515,0.003974
374,108,-36,16344,0.006625,-0.002205
375,195,-13,16406,0.011903,-0.000814
376,69,33,16384,0.004247,0.002069
377,-20,78,16345,-0.001222,0.004777
378,155,-57,16374,0.009512,-0.003481
379,52,-32,16368,0.003222,-0.002001
380,78,54,16348,0.004800,0.003321
381,135,-113,16380,0.008271,-0.006899
382,-10,9,16370,-0.000611,0.000570
383,4,-94,16366,0.000280,-0.005740
384,-15,-41,16359,-0.000942,-0.002541
385,21,-61,16371,0.001293,-0.003731
386,78,-98,16366,0.004797,-0.006021
387,79,-102,16362,0.004842,-0.006231
388,63,-42,16344,0.003879,-0.002577
389,-23,-8,16402,-0.001417,-0.000533
390,-71,-65,16334,-0.004347,-0.004010
391,40,-57,16371,0.002500,-0.003501
392,10,-34,16352,0.000667,-0.002076
393,52,-111,16404,0.003200,-0.006771
394,60,-27,16338,0.003662,-0.001691
395,27,-24,16343,0.001699,-0.001494
396,53,62,16337,0.003289,0.003830
397,23,-84,16369,0.001418,-0.005125
398,33,-88,16328,0.002040,-0.005374
399,-31,-27,16350,-0.001947,-0.001683
400,-10,-24,16309,-0.000655,-0.001510
401,3,-90,16368,0.000192,-0.005538
402,29,-83,16350,0.001782,-0.005094
403,-35,-36,16326,-0.002140,-0.002201
404,5,-102,16390,0.000328,-0.006235
405,-37,-80,16332,-0.002305,-0.004899
406,-34,-54,16384,-0.002127,-0.003303
407,7,-7,16347,0.000452,-0.000476
408,-135,-84,16404,-0.008271,-0.005159
409,-105,-143,16384,-0.006429,-0.008743
410,-118,-144,16341,-0.007225,-0.008826
411,-164,-109,16344,-0.010010,-0.006705
412,-86,-109,16382,-0.005265,-0.006707
413,-19,-50,16361,-0.001193,-0.003064
414,-73,-98,16364,-0.004496,-0.005990
415,-53,-71,16400,-0.003236,-0.004348
416,-12,-71,16351,-0.000737,-0.004371
417,-3,-52,16373,-0.000185,-0.003173
418,-74,38,16394,-0.004525,0.002320
419,-6,8,16392,-0.000392,0.000547
420,-70,-19,16368,-0.004298,-0.001177
421,-117,-39,16366,-0.007194,-0.002391
422,-107,-34,16331,-0.006557,-0.002087
423,-152,6,16349,-0.009291,0.000419
424,-124,23,16383,-0.007575,0.001413
425,-98,-46,16373,-0.006030,-0.002836
426,-42,3,16379,-0.002575,0.000223
427,2,-94,16403,0.000163,-0.005756
428,-149,19,16349,-0.009143,0.001199
429,-62,50,16374,-0.003799,0.003074
430,-132,2,16385,-0.008065,0.000168
431,-56,109,16364,-0.003469,0.006675
432,-85,-19,16417,-0.005220,-0.001205
433,-167,37,16405,-0.010238,0.002300
434,-30,28,16391,-0.001864,0.001744
435,-104,28,16429,-0.006352,0.001748
436,-98,31,16349,-0.006013,0.001897
437,-122,45,16386,-0.007480,0.002745
438,-99,84,16396,-0.006080,0.005144
439,-43,113,16366,-0.002666,0.006901
440,-71,47,16397,-0.004338,0.002920
441,-42,90,16363,-0.002592,0.005522
442,-37,18,16408,-0.002289,0.001111
443,13,92,16418,0.000801,0.005643
444,-64,19,16400,-0.003965,0.001178
445,-116,112,16348,-0.007134,0.006844
446,12,168,16371,0.000741,0.010300
447,-52,55,16410,-0.003205,0.003386
448,22,-45,16397,0.001391,-0.002753
449,-8,36,16331,-0.000540,0.002241
450,-29,125,16429,-0.001814,0.007628
451,-1,92,16403,-0.000101,0.005627
452,81,77,16380,0.004983,0.004737
453,92,115,16426,0.005641,0.007026
454,-1,89,16385,-0.000100,0.005450
455,7,125,16386,0.000455,0.007634
456,57,109,16413,0.003486,0.006710
457,-32,138,16449,-0.001997,0.008475
458,29,80,16446,0.001819,0.004933
459,16,106,16415,0.001020,0.006506
460,37,45,16419,0.002314,0.002790
461,-14,29,16428,-0.000858,0.001817
462,-46,141,16378,-0.002862,0.008640
463,-66,66,16426,-0.004054,0.004055
464,-15,93,16392,-0.000936,0.005697
465,21,57,16419,0.001284,0.003519
466,33,20,16406,0.002016,0.001243
467,146,47,16425,0.008933,0.002881
468,109,114,16416,0.006655,0.006993
469,10,68,16339,0.000656,0.004179
470,78,-45,16419,0.004780,-0.002802
471,44,24,16431,0.002697,0.001499
472,53,119,16427,0.003235,0.007298
473,78,18,16414,0.004800,0.001109
474,102,-63,16458,0.006245,-0.003858
475,57,114,16426,0.003498,0.007012
476,128,51,16430,0.007821,0.003164
477,21,11,16445,0.001303,0.000688
478,79,-7,16429,0.004833,-0.000438
479,207,60,16398,0.012675,0.003699
480,91,-22,16361,0.005605,-0.001400
481,152,56,16410,0.009273,0.003445
482,86,22,16441,0.005269,0.001400
483,110,4,16414,0.006742,0.000282
484,78,-3,16442,0.004819,-0.000239
485,72,-23,16427,0.004451,-0.001423
486,42,33,16455,0.002582,0.002020
487,100,-64,16416,0.006153,-0.003929
488,36,-105,16436,0.002234,-0.006410
489,109,1,16437,0.006696,0.000093
490,128,0,16461,0.007851,-0.000057
491,91,-11,16383,0.005576,-0.000704
492,57,-18,16414,0.003484,-0.001110
493,91,-56,16446,0.005558,-0.003475
494,50,-5,16463,0.003109,-0.000322
495,109,-48,16431,0.006668,-0.002985
496,-29,-73,16418,-0.001819,-0.004464
497,40,-66,16444,0.002471,-0.004083
498,-44,45,16447,-0.002703,0.002780
499,-23,-141,16417,-0.001435,-0.008611
500,113,-33,16434,0.006912,-0.002020
501,86,-141,16455,0.005268,-0.008659
502,2,-66,16472,0.000178,-0.004036
503,-39,-83,16444,-0.002425,-0.005091
504,-115,-165,16427,-0.007071,-0.010111
505,-1,-44,16424,-0.000075,-0.002743
506,140,-83,16439,0.008546,-0.005092
507,37,-168,16422,0.002314,-0.010278
508,-15,-24,16429,-0.000948,-0.001478
509,30,5,16399,0.001845,0.000305
510,-74,7,16456,-0.004516,0.000480
511,-16,-47,16396,-0.001008,-0.002891
512,-1,-62,16413,-0.000100,-0.003794
513,-15,1,16426,-0.000938,0.000100
514,23,20,16472,0.001413,0.001222
515,-3,-5,16412,-0.000201,-0.000352
516,8,-106,16406,0.000498,-0.006492
517,-62,-48,16408,-0.003840,-0.002968
518,10,-35,16462,0.000657,-0.002146
519,42,-143,16352,0.002595,-0.008774
520,-89,-29,16396,-0.005450,-0.001808
521,-89,61,16487,-0.005442,0.003743
522,16,-16,16434,0.000998,-0.001007
523,-62,27,16392,-0.003805,0.001652
524,12,-33,16417,0.000770,-0.002051
525,-81,-43,16419,-0.004969,-0.002643
526,8,-17,16438,0.000536,-0.001096
527,-59,-73,16462,-0.003610,-0.004496
528,-55,-77,16425,-0.003393,-0.004743
529,6,35,16402,0.000377,0.002151
530,-90,43,16434,-0.005538,0.002678
531,-121,-68,16396,-0.007398,-0.004199
532,-98,31,16387,-0.006027,0.001896
533,-56,-17,16369,-0.003416,-0.001048
534,-156,7,16373,-0.009547,0.000455
535,-49,17,16388,-0.002998,0.001041
536,-107,47,16381,-0.006573,0.002870
537,-25,5,16417,-0.001542,0.000361
538,-199,74,16379,-0.012182,0.004570
539,-120,24,16330,-0.007356,0.001492
540,-164,43,16381,-0.010037,0.002660
541,-121,-24,16394,-0.007422,-0.001492
542,-68,126,16390,-0.004150,0.007701
543,-87,46,16441,-0.005365,0.002848
544,-90,62,16388,-0.005506,0.003787
545,-84,-48,16424,-0.005126,-0.002973
546,-64,-6,16401,-0.003927,-0.000419
547,-121,97,16399,-0.007437,0.005954
548,-35,53,16379,-0.002150,0.003284
549,-34,-51,16397,-0.002129,-0.003141
550,-45,96,16379,-0.002795,0.005883
551,-34,21,16401,-0.002101,0.001295
552,-44,119,16390,-0.002689,0.007310
553,44,48,16372,0.002730,0.002952
554,-56,64,16418,-0.003422,0.003960
555,-63,114,16403,-0.003858,0.007001
556,-81,14,16381,-0.004964,0.000879
557,-91,11,16395,-0.005557,0.000689
558,-97,51,16388,-0.005944,0.003163
559,-75,103,16368,-0.004620,0.006306
560,-31,-1,16390,-0.001902,-0.000108
561,-6,-17,16372,-0.000418,-0.001072
562,-16,105,16363,-0.000994,0.006439
563,-51,35,16346,-0.003167,0.002181
564,34,46,16376,0.002110,0.002823
565,31,-25,16398,0.001910,-0.001574
566,-8,31,16366,-0.000504,0.001943
567,-27,64,16444,-0.001701,0.003929
568,35,109,16403,0.002185,0.006701
569,22,25,16412,0.001384,0.001543
570,-53,143,16399,-0.003247,0.008762
571,19,27,16424,0.001168,0.001658
572,39,25,16358,0.002428,0.001572
573,-12,133,16314,-0.000793,0.008131
574,44,66,16365,0.002734,0.004040
575,-31,26,16389,-0.001948,0.001626
576,109,43,16378,0.006669,0.002682
577,108,115,16381,0.006639,0.007062
578,38,118,16406,0.002364,0.007247
579,72,3,16382,0.004428,0.000235
580,-60,39,16391,-0.003687,0.002386
581,4,42,16348,0.000267,0.002603
582,49,-13,16343,0.003037,-0.000814
583,14,29,16409,0.000872,0.001784
584,104,28,16371,0.006387,0.001766
585,170,81,16353,0.010379,0.004964
586,16,81,16352,0.000986,0.004955
587,34,2,16351,0.002118,0.000129
588,89,4,16349,0.005436,0.000256
589,158,43,16334,0.009647,0.002669
590,19,-21,16329,0.001215,-0.001304
591,93,32,16360,0.005683,0.001992
592,171,-4,16350,0.010437,-0.000264
593,0,-51,16391,0.000039,-0.003134
594,18,-54,16371,0.001157,-0.003322
595,60,60,16370,0.003718,0.003665
596,55,-22,16345,0.003401,-0.001367
597,120,62,16360,0.007358,0.003804
598,91,-47,16371,0.005587,-0.002873
599,-8,-10,16379,-0.000537,-0.000670
600,102,88,16359,0.006245,0.005428
601,46,-83,16388,0.002862,-0.005123
602,136,-128,16361,0.008299,-0.007839
603,40,25,16380,0.002460,0.001527
604,37,-81,16349,0.002286,-0.004993
605,92,-45,16316,0.005658,-0.002747
606,100,-75,16367,0.006150,-0.004606
607,82,-36,16378,0.005020,-0.002198
608,-25,-98,16374,-0.001579,-0.005999
609,80,-62,16371,0.004883,-0.003822
610,0,-33,16352,-0.000053,-0.002057
611,57,-107,16340,0.003527,-0.006544
612,-27,-93,16374,-0.001688,-0.005721
613,60,-77,16371,0.003675,-0.004754
614,-5,-132,16347,-0.000337,-0.008076
615,-33,-83,16388,-0.002026,-0.005124
616,60,-58,16339,0.003697,-0.003554
617,32,-84,16346,0.002009,-0.005150
618,-13,-78,16401,-0.000833,-0.004795
619,83,-66,16382,0.005084,-0.004056
620,-14,-97,16353,-0.000873,-0.005967
621,4,-31,16369,0.000263,-0.001917
622,11,5,16366,0.000691,0.000340
623,-37,-87,16295,-0.002258,-0.005326
624,12,-39,16340,0.000733,-0.002429
625,-41,-74,16362,-0.002560,-0.004544
626,-40,-43,16354,-0.002470,-0.002656
627,42,16,16370,0.002581,0.001029
628,-80,-33,16392,-0.004896,-0.002046
629,-152,-144,16357,-0.009275,-0.008784
630,41,-32,16339,0.002541,-0.001983
631,83,7,16374,0.005109,0.000483
632,-65,-61,16358,-0.003995,-0.003741
633,-144,0,16363,-0.008820,0.000060
634,-68,-79,16360,-0.004162,-0.004838
635,-70,-115,16423,-0.004300,-0.007057
636,-69,-32,16313,-0.004211,-0.002000
637,-117,-123,16359,-0.007169,-0.007509
638,-37,-45,16370,-0.002266,-0.002768
639,-42,32,16351,-0.002594,0.002009
640,-144,-120,16393,-0.008801,-0.007377
641,-38,-86,16392,-0.002356,-0.005277
642,25,-70,16371,0.001583,-0.004321
643,-68,-19,16366,-0.004166,-0.001198
644,-94,-30,16371,-0.005785,-0.001884
645,-86,59,16372,-0.005276,0.003633
646,-50,41,16373,-0.003065,0.002524
647,-166,22,16372,-0.010148,0.001373
648,-73,9,16383,-0.004492,0.000550
649,-101,24,16396,-0.006170,0.001519
650,8,-33,16348,0.000547,-0.002022
651,-90,55,16354,-0.005500,0.003359
652,0,-38,16337,0.000060,-0.002328
653,-134,61,16402,-0.008204,0.003731
654,-50,81,16388,-0.003065,0.004997
655,-62,37,16395,-0.003787,0.002280
656,-118,21,16349,-0.007256,0.001323
657,-65,53,16429,-0.004005,0.003250
658,-12,-104,16371,-0.000774,-0.006345
659,-85,54,16391,-0.005242,0.003331
660,-150,37,16408,-0.009193,0.002260
661,-65,42,16364,-0.004003,0.002616
662,-106,82,16376,-0.006477,0.005046
663,-75,46,16395,-0.004605,0.002852
